Date : 2023-08-21 16:07:15
Directory : d:\codes\996ForCredit
Total : 565 files,  40918 codes, 2295 comments, 2304 blanks, all 45517 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| 20230802\_20230802-mybatis\src\test\java\com                                                                                  |          4 |        200 |          4 |         39 |        243 |
| 20230802\_20230802-mybatis\src\test\java\com\tjetc                                                                            |          4 |        200 |          4 |         39 |        243 |
| 20230802\querys                                                                                                               |          1 |         11 |          1 |          0 |         12 |
| 20230803                                                                                                                      |         15 |        336 |         44 |         43 |        423 |
| 20230803\_20230803-spring                                                                                                     |         15 |        336 |         44 |         43 |        423 |
| 20230803\_20230803-spring (Files)                                                                                             |          1 |         21 |          1 |          4 |         26 |
| 20230803\_20230803-spring\.idea                                                                                               |          4 |        152 |          0 |          0 |        152 |
| 20230803\_20230803-spring\src                                                                                                 |         10 |        163 |         43 |         39 |        245 |
| 20230803\_20230803-spring\src\main                                                                                            |         10 |        163 |         43 |         39 |        245 |
| 20230803\_20230803-spring\src\main\java                                                                                       |          8 |        148 |         31 |         39 |        218 |
| 20230803\_20230803-spring\src\main\java\com                                                                                   |          8 |        148 |         31 |         39 |        218 |
| 20230803\_20230803-spring\src\main\java\com\tjetc                                                                             |          8 |        148 |         31 |         39 |        218 |
| 20230803\_20230803-spring\src\main\java\com\tjetc (Files)                                                                     |          3 |         55 |         15 |         11 |         81 |
| 20230803\_20230803-spring\src\main\java\com\tjetc\common                                                                      |          2 |         40 |          8 |         11 |         59 |
| 20230803\_20230803-spring\src\main\java\com\tjetc\controller                                                                  |          1 |         25 |          4 |          9 |         38 |
| 20230803\_20230803-spring\src\main\java\com\tjetc\dao                                                                         |          1 |          8 |          0 |          3 |         11 |
| 20230803\_20230803-spring\src\main\java\com\tjetc\service                                                                     |          1 |         20 |          4 |          5 |         29 |
| 20230803\_20230803-spring\src\main\resources                                                                                  |          2 |         15 |         12 |          0 |         27 |
| 20230804                                                                                                                      |         23 |        565 |         59 |         60 |        684 |
| 20230804\_20230804-springAOP                                                                                                  |          9 |        264 |         30 |         19 |        313 |
| 20230804\_20230804-springAOP (Files)                                                                                          |          1 |         26 |          2 |          5 |         33 |
| 20230804\_20230804-springAOP\.idea                                                                                            |          4 |        152 |          0 |          0 |        152 |
| 20230804\_20230804-springAOP\src                                                                                              |          4 |         86 |         28 |         14 |        128 |
| 20230804\_20230804-springAOP\src\main                                                                                         |          4 |         86 |         28 |         14 |        128 |
| 20230804\_20230804-springAOP\src\main\java                                                                                    |          3 |         74 |         26 |         14 |        114 |
| 20230804\_20230804-springAOP\src\main\java\com                                                                                |          3 |         74 |         26 |         14 |        114 |
| 20230804\_20230804-springAOP\src\main\java\com\tjetc                                                                          |          3 |         74 |         26 |         14 |        114 |
| 20230804\_20230804-springAOP\src\main\java\com\tjetc (Files)                                                                  |          1 |         15 |          0 |          2 |         17 |
| 20230804\_20230804-springAOP\src\main\java\com\tjetc\aspects                                                                  |          1 |         38 |         26 |          6 |         70 |
| 20230804\_20230804-springAOP\src\main\java\com\tjetc\service                                                                  |          1 |         21 |          0 |          6 |         27 |
| 20230804\_20230804-springAOP\src\main\resources                                                                               |          1 |         12 |          2 |          0 |         14 |
| 20230804\_20230804-springmvc_                                                                                                 |         14 |        301 |         29 |         41 |        371 |
| 20230804\_20230804-springmvc_ (Files)                                                                                         |          1 |         42 |          0 |          5 |         47 |
| 20230804\_20230804-springmvc_\.idea                                                                                           |          3 |         27 |          0 |          0 |         27 |
| 20230804\_20230804-springmvc_\src                                                                                             |         10 |        232 |         29 |         36 |        297 |
| 20230804\_20230804-springmvc_\src\main                                                                                        |         10 |        232 |         29 |         36 |        297 |
| 20230804\_20230804-springmvc_\src\main\java                                                                                   |          4 |        122 |         15 |         30 |        167 |
| 20230804\_20230804-springmvc_\src\main\java\com                                                                               |          4 |        122 |         15 |         30 |        167 |
| 20230804\_20230804-springmvc_\src\main\java\com\tjetc                                                                         |          4 |        122 |         15 |         30 |        167 |
| 20230804\_20230804-springmvc_\src\main\java\com\tjetc\controller                                                              |          2 |         66 |         15 |         14 |         95 |
| 20230804\_20230804-springmvc_\src\main\java\com\tjetc\model                                                                   |          2 |         56 |          0 |         16 |         72 |
| 20230804\_20230804-springmvc_\src\main\java\com\tjetc\model\params                                                            |          1 |         24 |          0 |          7 |         31 |
| 20230804\_20230804-springmvc_\src\main\java\com\tjetc\model\views                                                             |          1 |         32 |          0 |          9 |         41 |
| 20230804\_20230804-springmvc_\src\main\resources                                                                              |          1 |         19 |          6 |          0 |         25 |
| 20230804\_20230804-springmvc_\src\main\webapp                                                                                 |          5 |         91 |          8 |          6 |        105 |
| 20230804\_20230804-springmvc_\src\main\webapp (Files)                                                                         |          4 |         59 |          0 |          4 |         63 |
| 20230804\_20230804-springmvc_\src\main\webapp\WEB-INF                                                                         |          1 |         32 |          8 |          2 |         42 |
| 20230805                                                                                                                      |          9 |        235 |          6 |         17 |        258 |
| 20230805 (Files)                                                                                                              |          1 |         28 |          0 |          7 |         35 |
| 20230805\_202308085-springboot                                                                                                |          8 |        207 |          6 |         10 |        223 |
| 20230805\_202308085-springboot (Files)                                                                                        |          1 |         34 |          3 |          3 |         40 |
| 20230805\_202308085-springboot\.idea                                                                                          |          4 |        151 |          0 |          0 |        151 |
| 20230805\_202308085-springboot\src                                                                                            |          3 |         22 |          3 |          7 |         32 |
| 20230805\_202308085-springboot\src\main                                                                                       |          3 |         22 |          3 |          7 |         32 |
| 20230805\_202308085-springboot\src\main\java                                                                                  |          2 |         20 |          1 |          6 |         27 |
| 20230805\_202308085-springboot\src\main\java\com                                                                              |          2 |         20 |          1 |          6 |         27 |
| 20230805\_202308085-springboot\src\main\java\com\tjetc                                                                        |          2 |         20 |          1 |          6 |         27 |
| 20230805\_202308085-springboot\src\main\java\com\tjetc (Files)                                                                |          1 |          9 |          1 |          3 |         13 |
| 20230805\_202308085-springboot\src\main\java\com\tjetc\controller                                                             |          1 |         11 |          0 |          3 |         14 |
| 20230805\_202308085-springboot\src\main\resources                                                                             |          1 |          2 |          2 |          1 |          5 |
| 20230807                                                                                                                      |         56 |      1,507 |        165 |        258 |      1,930 |
| 20230807\_20230807-springboot                                                                                                 |         23 |        605 |         27 |        108 |        740 |
| 20230807\_20230807-springboot (Files)                                                                                         |          1 |         39 |          3 |          6 |         48 |
| 20230807\_20230807-springboot\.idea                                                                                           |          4 |        152 |          0 |          0 |        152 |
| 20230807\_20230807-springboot\src                                                                                             |         18 |        414 |         24 |        102 |        540 |
| 20230807\_20230807-springboot\src\main                                                                                        |         18 |        414 |         24 |        102 |        540 |
| 20230807\_20230807-springboot\src\main\java                                                                                   |         12 |        354 |         11 |         93 |        458 |
| 20230807\_20230807-springboot\src\main\java\com                                                                               |         12 |        354 |         11 |         93 |        458 |
| 20230807\_20230807-springboot\src\main\java\com\tjetc                                                                         |         12 |        354 |         11 |         93 |        458 |
| 20230807\_20230807-springboot\src\main\java\com\tjetc (Files)                                                                 |          1 |         12 |          1 |          2 |         15 |
| 20230807\_20230807-springboot\src\main\java\com\tjetc\common                                                                  |          1 |         31 |          1 |          9 |         41 |
| 20230807\_20230807-springboot\src\main\java\com\tjetc\config                                                                  |          2 |         69 |          5 |         16 |         90 |
| 20230807\_20230807-springboot\src\main\java\com\tjetc\controller                                                              |          2 |         58 |          1 |         12 |         71 |
| 20230807\_20230807-springboot\src\main\java\com\tjetc\entity                                                                  |          3 |        138 |          3 |         37 |        178 |
| 20230807\_20230807-springboot\src\main\java\com\tjetc\model                                                                   |          1 |         26 |          0 |          8 |         34 |
| 20230807\_20230807-springboot\src\main\java\com\tjetc\model\view                                                              |          1 |         26 |          0 |          8 |         34 |
| 20230807\_20230807-springboot\src\main\java\com\tjetc\service                                                                 |          2 |         20 |          0 |          9 |         29 |
| 20230807\_20230807-springboot\src\main\java\com\tjetc\service (Files)                                                         |          1 |          6 |          0 |          4 |         10 |
| 20230807\_20230807-springboot\src\main\java\com\tjetc\service\impl                                                            |          1 |         14 |          0 |          5 |         19 |
| 20230807\_20230807-springboot\src\main\resources                                                                              |          6 |         60 |         13 |          9 |         82 |
| 20230807\springboot-mybatis                                                                                                   |         33 |        902 |        138 |        150 |      1,190 |
| 20230807\springboot-mybatis (Files)                                                                                           |          1 |         76 |          9 |          6 |         91 |
| 20230807\springboot-mybatis\.idea                                                                                             |          5 |        164 |          0 |          0 |        164 |
| 20230807\springboot-mybatis\src                                                                                               |         27 |        662 |        129 |        144 |        935 |
| 20230807\springboot-mybatis\src\main                                                                                          |         25 |        576 |        120 |        131 |        827 |
| 20230807\springboot-mybatis\src\main\java                                                                                     |         21 |        508 |        113 |        124 |        745 |
| 20230807\springboot-mybatis\src\main\java\com                                                                                 |         21 |        508 |        113 |        124 |        745 |
| 20230807\springboot-mybatis\src\main\java\com\tjetc                                                                           |         21 |        508 |        113 |        124 |        745 |
| 20230807\springboot-mybatis\src\main\java\com\tjetc (Files)                                                                   |          1 |         13 |          1 |          3 |         17 |
| 20230807\springboot-mybatis\src\main\java\com\tjetc\advice                                                                    |          1 |         12 |          4 |          3 |         19 |
| 20230807\springboot-mybatis\src\main\java\com\tjetc\common                                                                    |          4 |         68 |         31 |         13 |        112 |
| 20230807\springboot-mybatis\src\main\java\com\tjetc\config                                                                    |          3 |         46 |         23 |          9 |         78 |
| 20230807\springboot-mybatis\src\main\java\com\tjetc\controller                                                                |          3 |        143 |         17 |         28 |        188 |
| 20230807\springboot-mybatis\src\main\java\com\tjetc\dao                                                                       |          2 |         19 |          0 |         12 |         31 |
| 20230807\springboot-mybatis\src\main\java\com\tjetc\entity                                                                    |          3 |         57 |          6 |         20 |         83 |
| 20230807\springboot-mybatis\src\main\java\com\tjetc\enums                                                                     |          1 |         26 |          7 |          7 |         40 |
| 20230807\springboot-mybatis\src\main\java\com\tjetc\interceptors                                                              |          1 |         23 |          7 |          4 |         34 |
| 20230807\springboot-mybatis\src\main\java\com\tjetc\service                                                                   |          2 |        101 |         17 |         25 |        143 |
| 20230807\springboot-mybatis\src\main\java\com\tjetc\service (Files)                                                           |          1 |         17 |          0 |          8 |         25 |
| 20230807\springboot-mybatis\src\main\java\com\tjetc\service\impl                                                              |          1 |         84 |         17 |         17 |        118 |
| 20230807\springboot-mybatis\src\main\resources                                                                                |          4 |         68 |          7 |          7 |         82 |
| 20230807\springboot-mybatis\src\main\resources (Files)                                                                        |          2 |         19 |          3 |          3 |         25 |
| 20230807\springboot-mybatis\src\main\resources\mapper                                                                         |          2 |         49 |          4 |          4 |         57 |
| 20230807\springboot-mybatis\src\test                                                                                          |          2 |         86 |          9 |         13 |        108 |
| 20230807\springboot-mybatis\src\test\java                                                                                     |          2 |         86 |          9 |         13 |        108 |
| 20230807\springboot-mybatis\src\test\java\com                                                                                 |          2 |         86 |          9 |         13 |        108 |
| 20230807\springboot-mybatis\src\test\java\com\tjetc                                                                           |          2 |         86 |          9 |         13 |        108 |
| 20230809                                                                                                                      |          2 |         55 |          6 |         10 |         71 |
| 20230809\20230809-front                                                                                                       |          2 |         55 |          6 |         10 |         71 |
| 20230810                                                                                                                      |         11 |        595 |         33 |         61 |        689 |
| 20230810\20230810-front                                                                                                       |         11 |        595 |         33 |         61 |        689 |
| 20230811                                                                                                                      |         32 |     11,125 |        151 |        114 |     11,390 |
| 20230811\helloworld                                                                                                           |         32 |     11,125 |        151 |        114 |     11,390 |
| 20230811\helloworld (Files)                                                                                                   |          6 |     10,188 |         20 |          9 |     10,217 |
| 20230811\helloworld\public                                                                                                    |          1 |         19 |          1 |          3 |         23 |
| 20230811\helloworld\src                                                                                                       |         25 |        918 |        130 |        102 |      1,150 |
| 20230811\helloworld\src (Files)                                                                                               |          2 |         41 |          9 |          7 |         57 |
| 20230811\helloworld\src\api                                                                                                   |          1 |         44 |          7 |          6 |         57 |
| 20230811\helloworld\src\components                                                                                            |          3 |         49 |         42 |         18 |        109 |
| 20230811\helloworld\src\router                                                                                                |          1 |         90 |          6 |          3 |         99 |
| 20230811\helloworld\src\store                                                                                                 |          2 |         71 |         12 |          3 |         86 |
| 20230811\helloworld\src\store (Files)                                                                                         |          1 |         43 |         12 |          2 |         57 |
| 20230811\helloworld\src\store\user                                                                                            |          1 |         28 |          0 |          1 |         29 |
| 20230811\helloworld\src\utils                                                                                                 |          1 |         52 |         25 |          6 |         83 |
| 20230811\helloworld\src\views                                                                                                 |         15 |        571 |         29 |         59 |        659 |
| final_project                                                                                                                 |        295 |      8,118 |      1,230 |      1,045 |     10,393 |
| final_project\383ONPBqLwJeW                                                                                                   |        295 |      8,118 |      1,230 |      1,045 |     10,393 |
| final_project\383ONPBqLwJeW (Files)                                                                                           |          2 |         64 |          0 |         35 |         99 |
| final_project\383ONPBqLwJeW\docs                                                                                              |         20 |      1,374 |          0 |        221 |      1,595 |
| final_project\383ONPBqLwJeW\docs\drawio                                                                                       |          5 |        306 |          0 |          2 |        308 |
| final_project\383ONPBqLwJeW\docs\imgs                                                                                         |          4 |          4 |          0 |          0 |          4 |
| final_project\383ONPBqLwJeW\docs\requirements_analysis                                                                        |         11 |      1,064 |          0 |        219 |      1,283 |
| final_project\383ONPBqLwJeW\docs\requirements_analysis (Files)                                                                |          3 |        866 |          0 |        136 |      1,002 |
| final_project\383ONPBqLwJeW\docs\requirements_analysis\1_需求获取                                                                 |          3 |         77 |          0 |          3 |         80 |
| final_project\383ONPBqLwJeW\docs\requirements_analysis\2_分析需求信息                                                               |          2 |         30 |          0 |         15 |         45 |
| final_project\383ONPBqLwJeW\docs\requirements_analysis\3_编写PRD                                                                |          2 |         78 |          0 |         53 |        131 |
| final_project\383ONPBqLwJeW\docs\requirements_analysis\4_PRD评审                                                                |          1 |         13 |          0 |         12 |         25 |
| final_project\383ONPBqLwJeW\east_wind                                                                                         |         41 |        952 |         70 |        196 |      1,218 |
| final_project\383ONPBqLwJeW\east_wind (Files)                                                                                 |          1 |         81 |         11 |          7 |         99 |
| final_project\383ONPBqLwJeW\east_wind-front                                                                                   |        232 |      5,728 |      1,160 |        593 |      7,481 |
| final_project\383ONPBqLwJeW\east_wind-front (Files)                                                                           |         10 |        216 |        100 |         12 |        328 |
| final_project\383ONPBqLwJeW\east_wind-front\.VSCodeCounter                                                                    |          5 |        340 |          0 |         26 |        366 |
| final_project\383ONPBqLwJeW\east_wind-front\.VSCodeCounter\2023-08-21_16-03-19                                                |          5 |        340 |          0 |         26 |        366 |
| final_project\383ONPBqLwJeW\east_wind-front\eslintrc                                                                          |          2 |        290 |         28 |          8 |        326 |
| final_project\383ONPBqLwJeW\east_wind-front\src                                                                               |        211 |      4,681 |      1,007 |        540 |      6,228 |
| final_project\383ONPBqLwJeW\east_wind-front\src (Files)                                                                       |          5 |        153 |        110 |         32 |        295 |
| final_project\383ONPBqLwJeW\east_wind-front\src\api                                                                           |         13 |        714 |        148 |        105 |        967 |
| final_project\383ONPBqLwJeW\east_wind-front\src\api (Files)                                                                   |         11 |        628 |        135 |         90 |        853 |
| final_project\383ONPBqLwJeW\east_wind-front\src\api\system                                                                    |          2 |         86 |         13 |         15 |        114 |
| final_project\383ONPBqLwJeW\east_wind-front\src\api\system\dict                                                               |          2 |         86 |         13 |         15 |        114 |
| final_project\383ONPBqLwJeW\east_wind-front\src\assets                                                                        |          4 |         29 |          0 |          2 |         31 |
| final_project\383ONPBqLwJeW\east_wind-front\src\assets\layout                                                                 |          4 |         29 |          0 |          2 |         31 |
| final_project\383ONPBqLwJeW\east_wind-front\src\components                                                                    |         11 |        516 |        219 |         66 |        801 |
| final_project\383ONPBqLwJeW\east_wind-front\src\components (Files)                                                            |          6 |        291 |          0 |         38 |        329 |
| final_project\383ONPBqLwJeW\east_wind-front\src\components\InnerLink                                                          |          1 |         17 |          0 |          3 |         20 |
| final_project\383ONPBqLwJeW\east_wind-front\src\components\Pagination                                                         |          1 |        100 |          0 |          4 |        104 |
| final_project\383ONPBqLwJeW\east_wind-front\src\components\ParentView                                                         |          1 |          3 |          0 |          1 |          4 |
| final_project\383ONPBqLwJeW\east_wind-front\src\components\RightToolbar                                                       |          1 |         95 |          0 |         12 |        107 |
| final_project\383ONPBqLwJeW\east_wind-front\src\components\__tests__                                                          |          1 |         10 |        219 |          8 |        237 |
| final_project\383ONPBqLwJeW\east_wind-front\src\directives                                                                    |         11 |        319 |         31 |         27 |        377 |
| final_project\383ONPBqLwJeW\east_wind-front\src\directives (Files)                                                            |          4 |        106 |          6 |         10 |        122 |
| final_project\383ONPBqLwJeW\east_wind-front\src\directives\example                                                            |          7 |        213 |         25 |         17 |        255 |
| final_project\383ONPBqLwJeW\east_wind-front\src\hooks                                                                         |          8 |        535 |        142 |         42 |        719 |
| final_project\383ONPBqLwJeW\east_wind-front\src\icons                                                                         |        103 |        147 |          0 |         10 |        157 |
| final_project\383ONPBqLwJeW\east_wind-front\src\icons (Files)                                                                 |          1 |         41 |          0 |          5 |         46 |
| final_project\383ONPBqLwJeW\east_wind-front\src\icons\common                                                                  |         88 |         91 |          0 |          3 |         94 |
| final_project\383ONPBqLwJeW\east_wind-front\src\icons\nav-bar                                                                 |         14 |         15 |          0 |          2 |         17 |
| final_project\383ONPBqLwJeW\east_wind-front\src\lang                                                                          |          3 |        207 |         96 |         17 |        320 |
| final_project\383ONPBqLwJeW\east_wind-front\src\layout                                                                        |          4 |         91 |          4 |         15 |        110 |
| final_project\383ONPBqLwJeW\east_wind-front\src\layout (Files)                                                                |          1 |         29 |          2 |          3 |         34 |
| final_project\383ONPBqLwJeW\east_wind-front\src\layout\app-main                                                               |          2 |         24 |          0 |          9 |         33 |
| final_project\383ONPBqLwJeW\east_wind-front\src\layout\sidebar                                                                |          1 |         38 |          2 |          3 |         43 |
| final_project\383ONPBqLwJeW\east_wind-front\src\lib                                                                           |          2 |         16 |          1 |          2 |         19 |
| final_project\383ONPBqLwJeW\east_wind-front\src\plugins                                                                       |          1 |         33 |          4 |          2 |         39 |
| final_project\383ONPBqLwJeW\east_wind-front\src\plugins\vite-plugin-setup-extend                                              |          1 |         33 |          4 |          2 |         39 |
| final_project\383ONPBqLwJeW\east_wind-front\src\router                                                                        |          1 |         54 |          8 |          7 |         69 |
| final_project\383ONPBqLwJeW\east_wind-front\src\store                                                                         |          2 |        148 |          9 |          3 |        160 |
| final_project\383ONPBqLwJeW\east_wind-front\src\styles                                                                        |          5 |        372 |         36 |         28 |        436 |
| final_project\383ONPBqLwJeW\east_wind-front\src\theme                                                                         |         28 |        777 |        109 |        125 |      1,011 |
| final_project\383ONPBqLwJeW\east_wind-front\src\theme (Files)                                                                 |          1 |          2 |          6 |          1 |          9 |
| final_project\383ONPBqLwJeW\east_wind-front\src\theme\base                                                                    |         10 |        321 |         35 |         48 |        404 |
| final_project\383ONPBqLwJeW\east_wind-front\src\theme\base (Files)                                                            |          1 |          9 |          3 |          2 |         14 |
| final_project\383ONPBqLwJeW\east_wind-front\src\theme\base\custom                                                             |          1 |         49 |         16 |          3 |         68 |
| final_project\383ONPBqLwJeW\east_wind-front\src\theme\base\element-plus                                                       |          8 |        263 |         16 |         43 |        322 |
| final_project\383ONPBqLwJeW\east_wind-front\src\theme\dark                                                                    |         11 |        315 |         43 |         49 |        407 |
| final_project\383ONPBqLwJeW\east_wind-front\src\theme\dark (Files)                                                            |          1 |          1 |         11 |          2 |         14 |
| final_project\383ONPBqLwJeW\east_wind-front\src\theme\dark\custom                                                             |          1 |         50 |         16 |          3 |         69 |
| final_project\383ONPBqLwJeW\east_wind-front\src\theme\dark\element-plus                                                       |          9 |        264 |         16 |         44 |        324 |
| final_project\383ONPBqLwJeW\east_wind-front\src\theme\mixins                                                                  |          4 |        135 |         25 |         25 |        185 |
| final_project\383ONPBqLwJeW\east_wind-front\src\theme\utils                                                                   |          2 |          4 |          0 |          2 |          6 |
| final_project\383ONPBqLwJeW\east_wind-front\src\utils                                                                         |          4 |        214 |         89 |          9 |        312 |
| final_project\383ONPBqLwJeW\east_wind-front\src\views                                                                         |          6 |        356 |          1 |         48 |        405 |
