Date : 2023-08-21 16:07:15
Directory : d:\codes\996ForCredit
Total : 565 files,  40918 codes, 2295 comments, 2304 blanks, all 45517 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\codes\996ForCredit\20230807\_20230807-springboot\src\main\resources\application-dev.yml                                    | YAML               |         18 |          1 |          3 |         22 |
| d:\codes\996ForCredit\20230807\_20230807-springboot\src\main\resources\application-prod.yml                                   | YAML               |         18 |          1 |          3 |         22 |
| d:\codes\996ForCredit\20230807\_20230807-springboot\src\main\resources\application-test.yml                                   | YAML               |         18 |          1 |          3 |         22 |
| d:\codes\996ForCredit\20230807\_20230807-springboot\src\main\resources\application.properties                                 | Properties         |          0 |         10 |          0 |         10 |
| d:\codes\996ForCredit\20230807\_20230807-springboot\src\main\resources\db.properties                                          | Properties         |          4 |          0 |          0 |          4 |
| d:\codes\996ForCredit\20230807\_20230807-springboot\src\main\resources\image.properties                                       | Properties         |          2 |          0 |          0 |          2 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\.idea\dataSources.xml                                                       | XML                |         12 |          0 |          0 |         12 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\.idea\encodings.xml                                                         | XML                |          8 |          0 |          0 |          8 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\.idea\misc.xml                                                              | XML                |         14 |          0 |          0 |         14 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\.idea\uiDesigner.xml                                                        | XML                |        124 |          0 |          0 |        124 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\.idea\vcs.xml                                                               | XML                |          6 |          0 |          0 |          6 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\pom.xml                                                                     | XML                |         76 |          9 |          6 |         91 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\src\main\java\com\tjetc\SpringBootMybatisApplication.java                   | Java               |         13 |          1 |          3 |         17 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\src\main\java\com\tjetc\advice\GlobalHandlerExceptionController.java        | Java               |         12 |          4 |          3 |         19 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\src\main\java\com\tjetc\common\FileUploadUtils.java                         | Java               |         33 |         27 |          4 |         64 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\src\main\java\com\tjetc\common\ImageInfo.java                               | Java               |         12 |          0 |          3 |         15 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\src\main\java\com\tjetc\common\JsonResult.java                              | Java               |         13 |          3 |          3 |         19 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\src\main\java\com\tjetc\common\ScheduleDemo.java                            | Java               |         10 |          1 |          3 |         14 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\src\main\java\com\tjetc\config\LoginInterceptorConfig.java                  | Java               |         13 |          7 |          3 |         23 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\src\main\java\com\tjetc\config\MyWebMvcConfigurer.java                      | Java               |         14 |         12 |          3 |         29 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\src\main\java\com\tjetc\config\RedisTemplateConfig.java                     | Java               |         19 |          4 |          3 |         26 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\src\main\java\com\tjetc\controller\TestController.java                      | Java               |         27 |          0 |          6 |         33 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\src\main\java\com\tjetc\controller\UploadController.java                    | Java               |         30 |          7 |          9 |         46 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\src\main\java\com\tjetc\controller\UserController.java                      | Java               |         86 |         10 |         13 |        109 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\src\main\java\com\tjetc\dao\AdminMapper.java                                | Java               |          8 |          0 |          6 |         14 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\src\main\java\com\tjetc\dao\UserMapper.java                                 | Java               |         11 |          0 |          6 |         17 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\src\main\java\com\tjetc\entity\Admin.java                                   | Java               |         41 |          3 |         12 |         56 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\src\main\java\com\tjetc\entity\Person.java                                  | Java               |          8 |          1 |          5 |         14 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\src\main\java\com\tjetc\entity\User.java                                    | Java               |          8 |          2 |          3 |         13 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\src\main\java\com\tjetc\enums\EnumSex.java                                  | Java               |         26 |          7 |          7 |         40 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\src\main\java\com\tjetc\interceptors\LoginInterceptor.java                  | Java               |         23 |          7 |          4 |         34 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\src\main\java\com\tjetc\service\UserService.java                            | Java               |         17 |          0 |          8 |         25 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\src\main\java\com\tjetc\service\impl\UserServiceImpl.java                   | Java               |         84 |         17 |         17 |        118 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\src\main\resources\admin.properties                                         | Properties         |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\src\main\resources\application.yml                                          | YAML               |         18 |          3 |          3 |         24 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\src\main\resources\mapper\AdminMapper.xml                                   | XML                |         20 |          4 |          2 |         26 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\src\main\resources\mapper\UserMapper.xml                                    | XML                |         29 |          0 |          2 |         31 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\src\test\java\com\tjetc\MyTest.java                                         | Java               |         64 |          8 |          9 |         81 |
| d:\codes\996ForCredit\20230807\springboot-mybatis\src\test\java\com\tjetc\Test2.java                                          | Java               |         22 |          1 |          4 |         27 |
| d:\codes\996ForCredit\20230809\20230809-front\1.html                                                                          | HTML               |         43 |          5 |          5 |         53 |
| d:\codes\996ForCredit\20230809\20230809-front\templete-vue.html                                                               | HTML               |         12 |          1 |          5 |         18 |
| d:\codes\996ForCredit\20230810\20230810-front\1.html                                                                          | HTML               |         75 |          9 |          4 |         88 |
| d:\codes\996ForCredit\20230810\20230810-front\10.html                                                                         | HTML               |         45 |          1 |          5 |         51 |
| d:\codes\996ForCredit\20230810\20230810-front\2.html                                                                          | HTML               |         51 |          5 |          6 |         62 |
| d:\codes\996ForCredit\20230810\20230810-front\3.html                                                                          | HTML               |         35 |          7 |          4 |         46 |
| d:\codes\996ForCredit\20230810\20230810-front\4.html                                                                          | HTML               |         36 |          1 |          4 |         41 |
| d:\codes\996ForCredit\20230810\20230810-front\5.html                                                                          | HTML               |         74 |          4 |          6 |         84 |
| d:\codes\996ForCredit\20230810\20230810-front\6.html                                                                          | HTML               |         65 |          2 |          7 |         74 |
| d:\codes\996ForCredit\20230810\20230810-front\7.html                                                                          | HTML               |         72 |          1 |          8 |         81 |
| d:\codes\996ForCredit\20230810\20230810-front\8.html                                                                          | HTML               |         63 |          1 |          6 |         70 |
| d:\codes\996ForCredit\20230810\20230810-front\9.html                                                                          | HTML               |         57 |          1 |          5 |         63 |
| d:\codes\996ForCredit\20230810\20230810-front\templete-vue.html                                                               | HTML               |         22 |          1 |          6 |         29 |
| d:\codes\996ForCredit\20230811\helloworld\README.md                                                                           | Markdown           |         15 |          0 |          5 |         20 |
| d:\codes\996ForCredit\20230811\helloworld\babel.config.js                                                                     | JavaScript         |          5 |          0 |          1 |          6 |
| d:\codes\996ForCredit\20230811\helloworld\jsconfig.json                                                                       | JSON with Comments |          8 |         12 |          0 |         20 |
| d:\codes\996ForCredit\20230811\helloworld\package-lock.json                                                                   | JSON               |     10,114 |          0 |          1 |     10,115 |
| d:\codes\996ForCredit\20230811\helloworld\package.json                                                                        | JSON               |         27 |          0 |          1 |         28 |
| d:\codes\996ForCredit\20230811\helloworld\public\index.html                                                                   | HTML               |         19 |          1 |          3 |         23 |
| d:\codes\996ForCredit\20230811\helloworld\src\App.vue                                                                         | vue                |         30 |          3 |          5 |         38 |
| d:\codes\996ForCredit\20230811\helloworld\src\api\user.js                                                                     | JavaScript         |         44 |          7 |          6 |         57 |
| d:\codes\996ForCredit\20230811\helloworld\src\components\ComponentA.vue                                                       | vue                |         33 |         13 |          9 |         55 |
| d:\codes\996ForCredit\20230811\helloworld\src\components\GlobalComponentA.vue                                                 | vue                |          8 |         16 |          4 |         28 |
| d:\codes\996ForCredit\20230811\helloworld\src\components\HelloWorld.vue                                                       | vue                |          8 |         13 |          5 |         26 |
| d:\codes\996ForCredit\20230811\helloworld\src\main.js                                                                         | JavaScript         |         11 |          6 |          2 |         19 |
| d:\codes\996ForCredit\20230811\helloworld\src\router\index.js                                                                 | JavaScript         |         90 |          6 |          3 |         99 |
| d:\codes\996ForCredit\20230811\helloworld\src\store\index.js                                                                  | JavaScript         |         43 |         12 |          2 |         57 |
| d:\codes\996ForCredit\20230811\helloworld\src\store\user\index.js                                                             | JavaScript         |         28 |          0 |          1 |         29 |
| d:\codes\996ForCredit\20230811\helloworld\src\utils\request.js                                                                | JavaScript         |         52 |         25 |          6 |         83 |
| d:\codes\996ForCredit\20230811\helloworld\src\views\AboutView.vue                                                             | vue                |          5 |          4 |          1 |         10 |
| d:\codes\996ForCredit\20230811\helloworld\src\views\HomeView.vue                                                              | vue                |         27 |         17 |          5 |         49 |
| d:\codes\996ForCredit\20230811\helloworld\src\views\Login.vue                                                                 | vue                |         26 |          0 |          2 |         28 |
| d:\codes\996ForCredit\20230811\helloworld\src\views\Main.vue                                                                  | vue                |         16 |          0 |          4 |         20 |
| d:\codes\996ForCredit\20230811\helloworld\src\views\Message.vue                                                               | vue                |         16 |          0 |          4 |         20 |
| d:\codes\996ForCredit\20230811\helloworld\src\views\Mine.vue                                                                  | vue                |         16 |          0 |          4 |         20 |
| d:\codes\996ForCredit\20230811\helloworld\src\views\MyElement.vue                                                             | vue                |         43 |          0 |          2 |         45 |
| d:\codes\996ForCredit\20230811\helloworld\src\views\MyHome.vue                                                                | vue                |         40 |          5 |          3 |         48 |
| d:\codes\996ForCredit\20230811\helloworld\src\views\MyImage.vue                                                               | vue                |         44 |          2 |          5 |         51 |
| d:\codes\996ForCredit\20230811\helloworld\src\views\MyLogin.vue                                                               | vue                |         68 |          1 |          4 |         73 |
| d:\codes\996ForCredit\20230811\helloworld\src\views\MyStore.vue                                                               | vue                |         39 |          0 |          5 |         44 |
| d:\codes\996ForCredit\20230811\helloworld\src\views\MyStore1.vue                                                              | vue                |         18 |          0 |          2 |         20 |
| d:\codes\996ForCredit\20230811\helloworld\src\views\MyUsers.vue                                                               | vue                |         48 |          0 |          6 |         54 |
| d:\codes\996ForCredit\20230811\helloworld\src\views\Register.vue                                                              | vue                |         32 |          0 |          2 |         34 |
| d:\codes\996ForCredit\20230811\helloworld\src\views\Student.vue                                                               | vue                |        133 |          0 |         10 |        143 |
| d:\codes\996ForCredit\20230811\helloworld\vue.config.js                                                                       | JavaScript         |         19 |          8 |          1 |         28 |
| d:\codes\996ForCredit\README.md                                                                                               | Markdown           |          1 |          0 |          2 |          3 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\README.md                                                                   | Markdown           |         59 |          0 |         34 |         93 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\docs\drawio\业务流程图.drawio                                                    | Draw.io            |        164 |          0 |          1 |        165 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\docs\drawio\库存管理用例图.drawio                                                  | Draw.io            |         31 |          0 |          0 |         31 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\docs\drawio\用户登录用例图.drawio                                                  | Draw.io            |         28 |          0 |          0 |         28 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\docs\drawio\进货管理用例图.drawio                                                  | Draw.io            |         37 |          0 |          1 |         38 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\docs\drawio\销售管理用例图.drawio                                                  | Draw.io            |         46 |          0 |          0 |         46 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\docs\imgs\业务流程图.svg                                                         | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\docs\imgs\库存管理用例图.svg                                                       | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\docs\imgs\进货管理用例图.svg                                                       | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\docs\imgs\销售管理用例图.svg                                                       | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\docs\requirements_analysis\0_需求分析流程总结.md                                    | Markdown           |          6 |          0 |          0 |          6 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\docs\requirements_analysis\1_需求获取\0_需求获取流程总结.md                             | Markdown           |          6 |          0 |          0 |          6 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\docs\requirements_analysis\1_需求获取\1_需求获取.md                                 | Markdown           |         52 |          0 |          3 |         55 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\docs\requirements_analysis\1_需求获取\一般超市业务流程.md                               | Markdown           |         19 |          0 |          0 |         19 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\docs\requirements_analysis\2_分析需求信息\0_分析需求信息流程总结.md                         | Markdown           |          0 |          0 |          1 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\docs\requirements_analysis\2_分析需求信息\2_分析需求信息.md                             | Markdown           |         30 |          0 |         14 |         44 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\docs\requirements_analysis\3_编写PRD\3_PRD（草稿）.md                             | Markdown           |         23 |          0 |         11 |         34 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\docs\requirements_analysis\3_编写PRD\PRD2.md                                  | Markdown           |         55 |          0 |         42 |         97 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\docs\requirements_analysis\4_PRD评审\4_PRD评审报告.md                             | Markdown           |         13 |          0 |         12 |         25 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\docs\requirements_analysis\PRD.html                                         | HTML               |        526 |          0 |          8 |        534 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\docs\requirements_analysis\超市商品管理系统PRDv1.0.md                               | Markdown           |        334 |          0 |        128 |        462 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\.VSCodeCounter\2023-08-21_16-03-19\details.md               | Markdown           |        237 |          0 |          6 |        243 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\.VSCodeCounter\2023-08-21_16-03-19\diff-details.md          | Markdown           |          9 |          0 |          6 |         15 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\.VSCodeCounter\2023-08-21_16-03-19\diff.md                  | Markdown           |         12 |          0 |          7 |         19 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\.VSCodeCounter\2023-08-21_16-03-19\results.json             | JSON               |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\.VSCodeCounter\2023-08-21_16-03-19\results.md               | Markdown           |         81 |          0 |          7 |         88 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\.eslintrc.json                                              | JSON with Comments |          4 |          0 |          1 |          5 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\.prettierignore                                             | Ignore             |          9 |          1 |          0 |         10 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\.prettierrc                                                 | JSON               |         10 |          0 |          0 |         10 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\README.md                                                   | Markdown           |         11 |          0 |          8 |         19 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\eslintrc\.eslintrc-auto-import.json                         | JSON               |        123 |          0 |          1 |        124 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\eslintrc\eslint-config.js                                   | JavaScript         |        167 |         28 |          7 |        202 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\index.html                                                  | HTML               |         19 |          0 |          1 |         20 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\package.json                                                | JSON               |         46 |          0 |          1 |         47 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\App.vue                                                 | vue                |         43 |          0 |          6 |         49 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\api\dataAuth.js                                         | JavaScript         |         28 |          6 |          2 |         36 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\api\dept.js                                             | JavaScript         |         42 |         16 |          7 |         65 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\api\dict.js                                             | JavaScript         |         49 |         17 |          8 |         74 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\api\dictData.js                                         | JavaScript         |         49 |         17 |          8 |         74 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\api\loginInfo.js                                        | JavaScript         |         40 |          7 |          7 |         54 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\api\menu.js                                             | JavaScript         |         48 |          9 |          6 |         63 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\api\operatorLog.js                                      | JavaScript         |         28 |          5 |          7 |         40 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\api\post.js                                             | JavaScript         |         48 |         17 |          8 |         73 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\api\remote-search.js                                    | JavaScript         |         15 |          0 |          3 |         18 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\api\role.js                                             | JavaScript         |        120 |         19 |         15 |        154 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\api\system\dict\data.js                                 | JavaScript         |         40 |          6 |          7 |         53 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\api\system\dict\type.js                                 | JavaScript         |         46 |          7 |          8 |         61 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\api\user.js                                             | JavaScript         |        161 |         22 |         19 |        202 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\assets\layout\login-bg.svg                              | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\assets\layout\login-front.svg                           | XML                |          6 |          0 |          1 |          7 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\assets\layout\login-top.svg                             | XML                |         21 |          0 |          1 |         22 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\assets\layout\login.svg                                 | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\components\ColumnFilter.vue                             | vue                |         67 |          0 |          9 |         76 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\components\DictTag.vue                                  | vue                |         49 |          0 |          4 |         53 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\components\ElSvgIcon.vue                                | vue                |         34 |          0 |          3 |         37 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\components\InnerLink\index.vue                          | vue                |         17 |          0 |          3 |         20 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\components\JsonInput.vue                                | vue                |         35 |          0 |          8 |         43 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\components\Pagination\index.vue                         | vue                |        100 |          0 |          4 |        104 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\components\ParentView\index.vue                         | vue                |          3 |          0 |          1 |          4 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\components\RightToolBar.vue                             | vue                |         93 |          0 |         11 |        104 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\components\RightToolbar\index.vue                       | vue                |         95 |          0 |         12 |        107 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\components\TestUnit.vue                                 | vue                |         13 |          0 |          3 |         16 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\components\__tests__\el-svgIcon.test.jsx                | JavaScript JSX     |         10 |        219 |          8 |        237 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\directives\example\clickoutside.js                      | JavaScript         |         19 |          0 |          3 |         22 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\directives\example\copy.js                              | JavaScript         |         25 |          5 |          2 |         32 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\directives\example\debounce.js                          | JavaScript         |         21 |          5 |          1 |         27 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\directives\example\longpress.js                         | JavaScript         |         35 |         10 |          1 |         46 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\directives\example\watermark.js                         | JavaScript         |         21 |          5 |          3 |         29 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\directives\example\waves.css                            | CSS                |         25 |          0 |          1 |         26 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\directives\example\waves.js                             | JavaScript         |         67 |          0 |          6 |         73 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\directives\has-perm.ts                                  | TypeScript         |         24 |          0 |          1 |         25 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\directives\has-role.ts                                  | TypeScript         |         24 |          0 |          3 |         27 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\directives\index.ts                                     | TypeScript         |         20 |          1 |          4 |         25 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\directives\lang.ts                                      | TypeScript         |         38 |          5 |          2 |         45 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\hooks\use-common.ts                                     | TypeScript         |         79 |         13 |         15 |        107 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\hooks\use-dict.js                                       | JavaScript         |         25 |          4 |          2 |         31 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\hooks\use-element.ts                                    | TypeScript         |        153 |         50 |          7 |        210 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\hooks\use-error-log.ts                                  | TypeScript         |         31 |          5 |          2 |         38 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\hooks\use-layout.ts                                     | TypeScript         |         36 |          7 |          2 |         45 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\hooks\use-permission.ts                                 | TypeScript         |         67 |         49 |          7 |        123 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\hooks\use-self-router.ts                                | TypeScript         |         39 |          1 |          2 |         42 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\hooks\use-table.ts                                      | TypeScript         |        105 |         13 |          5 |        123 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\icons\SvgIcon.vue                                       | vue                |         41 |          0 |          5 |         46 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\icons\common\404.svg                                    | XML                |          0 |          0 |          1 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\icons\common\bug.svg                                    | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\icons\common\build.svg                                  | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\icons\common\button.svg                                 | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\icons\common\cascader.svg                               | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\icons\common\chart.svg                                  | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\icons\common\checkbox.svg                               | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\icons\common\clipboard.svg                              | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\icons\common\code.svg                                   | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\icons\common\color.svg                                  | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\icons\common\component.svg                              | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\icons\common\dashboard.svg                              | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\icons\common\date-range.svg                             | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\icons\common\date.svg                                   | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\icons\common\demo.svg                                   | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\icons\common\dict.svg                                   | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\icons\common\documentation.svg                          | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\icons\common\download.svg                               | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\icons\common\drag.svg                                   | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\icons\common\druid.svg                                  | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\icons\common\edit.svg                                   | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\icons\common\education.svg                              | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\icons\common\email.svg                                  | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\icons\common\example.svg                                | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\icons\common\excel.svg                                  | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\icons\common\exit-fullscreen.svg                        | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\icons\common\eye-open.svg                               | XML                |          1 |          0 |          0 |          1 |
| d:\codes\996ForCredit\final_project\383ONPBqLwJeW\east_wind-front\src\icons\common\eye.svg                                    | XML                |          1 |          0 |          0 |          1 |
